"AÑO","DEPARTAMENTO","PROVINCIA","MUNICIPIO","No. ACCESOS FIJOS","POBLACIÓN DANE"
2022,"Antioquia","ORIENTE (ANTIOQUIA)","COCORNA",5477,16201
2021,"Santander","GUANENTA","OCAMONTE",16,6028
2022,"Atlantico","SUR (ATLANTICO)","REPELON",760,28493
2022,"Narino","NORTE (NARINO)","BUESACO",962,24726
2021,"Bolivar","DIQUE BOLIVARENSE","TURBANA",577,17455
2021,"La Guajira","NORTE (LA GUAJIRA)","URIBIA",1822,184577
2021,"Antioquia","ORIENTE (ANTIOQUIA)","ABEJORRAL",2230,20924
2022,"Boyaca","VALDERRAMA","PAZ DE RIO",199,4426
2022,"Boyaca","SUGAMUXI","SOGAMOSO",31062,134977
2022,"Norte De Santander","OCCIDENTE (NORTE DE SANTANDER)","TEORAMA",37,18351
2022,"Boyaca","NEIRA","GARAGOA",180,19002
2022,"Antioquia","VALLE DEL ABURRA","ENVIGADO",85892,244188
2022,"Antioquia","SUROESTE","TAMESIS",4813,16881
2022,"Choco","PACIFICO SUR","EL LITORAL DEL SAN JUAN",102,24533
2021,"Caldas","ORIENTE (CALDAS)","LA DORADA",11495,74200
2021,"Boyaca","ORIENTE (BOYACA)","GUATEQUE",426,11161
2021,"Cundinamarca","SABANA OCCIDENTE","SUBACHOQUE",1961,16524
2021,"Cesar","NOROCCIDENTAL","EL COPEY",641,33099
2021,"Bolivar","MOJANA BOLIVARENSE","ACHI",97,26361
2022,"Antioquia","SUROESTE","CARAMANTA",481,4869
2022,"Boyaca","OCCIDENTE (BOYACA)","BUENAVISTA",87,4582
2021,"Tolima","NORTE (TOLIMA)","PALOCABILDO",77,9648
2021,"Cundinamarca","TEQUENDAMA","SAN ANTONIO DEL TEQUENDAMA",188,12983
2022,"Cesar","NORTE (CESAR)","LA PAZ",1290,31254
2022,"Magdalena","NORTE (MAGDALENA)","ZONA BANANERA",580,76208
2021,"Norte De Santander","OCCIDENTE (NORTE DE SANTANDER)","SAN CALIXTO",22,13828
2022,"Caldas","ALTO OCCIDENTE","SUPIA",3146,29657
2021,"Narino","NORTE (NARINO)","SAN BERNARDO",407,9443
2022,"Antioquia","NORTE (ANTIOQUIA)","GOMEZ PLATA",855,10225
2021,"Narino","CENTRO (NARINO)","CHACHAGUI",1722,15695
2021,"Boyaca","SUGAMUXI","TOPAGA",85,3749
2021,"Magdalena","SUR (MAGDALENA)","SANTA ANA",367,26905
2021,"Valle Del Cauca","CENTRO (VALLE DEL CAUCA)","ANDALUCIA",2169,22875
2021,"Cauca","ORIENTE (CAUCA)","TORIBIO",26,36379
2021,"Arauca","ARAUCA","ARAUCA",11201,95631
2022,"Cundinamarca","SABANA CENTRO","TABIO",7110,24854
2022,"Cundinamarca","MAGDALENA CENTRO","BITUIMA",11,2747
2021,"Amazonas","AMAZONAS","LETICIA",1163,52226
2021,"Santander","COMUNERA","EL GUACAMAYO",70,2219
2022,"Boyaca","RICAURTE","SUTAMARCHAN",557,6463
2021,"Santander","COMUNERA","CHIMA",57,2936
2021,"Tolima","NORTE (TOLIMA)","FALAN",163,7831
2021,"Choco","ATRATO","LLORO",11,10081
2021,"Cauca","OCCIDENTE (CAUCA)","LOPEZ",153,19335
2022,"Cauca","ORIENTE (CAUCA)","CALDONO",318,42368
2021,"Antioquia","NORDESTE","YOLOMBO",1064,23387
2021,"Boyaca","OCCIDENTE (BOYACA)","SAN MIGUEL DE SEMA",110,3097
2022,"Guaviare","GUAVIARE","SAN JOSE DEL GUAVIARE",1258,59555
2022,"Norte De Santander","NORTE (NORTE DE SANTANDER)","SARDINATA",894,28397
2022,"Huila","NORTE (HUILA)","TERUEL",573,8486
2021,"Narino","CENTRO (NARINO)","CONSACA",178,14204
2021,"Santander","GARCIA ROVIRA","CERRITO",350,6931
2022,"Cauca","CENTRO (CAUCA)","TIMBIO",831,37268
2022,"Cundinamarca","TEQUENDAMA","ANOLAIMA",834,15521
2021,"Antioquia","OCCIDENTE (ANTIOQUIA)","URAMITA",385,7085
2022,"Norte De Santander","SUR ORIENTE","RAGONVALIA",162,6613
2022,"Guainia","GUAINIA","MORICHAL",2,985
2022,"Narino","COSTA","OLAYA HERRERA",66,26110
2022,"Bolivar","MONTES DE MARIA (BOLIVAR)","EL CARMEN DE BOLIVAR",2327,75188
2021,"Caldas","BAJO OCCIDENTE","ANSERMA",4341,36966
2021,"Casanare","CASANARE","YOPAL",37788,184803
2021,"San Andres Y Providencia","ARCHIPIELAGO DE SAN ANDRES","PROVIDENCIA",18,5933
2021,"La Guajira","NORTE (LA GUAJIRA)","MAICAO",11304,191241
2021,"Santander","VELEZ","PUERTO PARRA",78,7779
2022,"Antioquia","NORTE (ANTIOQUIA)","SANTA ROSA DE OSOS",5268,38420
2021,"Caqueta","CAQUETA","SOLITA",211,6257
2022,"Cesar","NOROCCIDENTAL","BOSCONIA",3765,45247
2022,"Putumayo","PUTUMAYO","MOCOA",2871,62960
2021,"Huila","OCCIDENTE (HUILA)","PAICOL",688,6911
2022,"Casanare","CASANARE","OROCUE",502,13590
2022,"Casanare","CASANARE","CHAMEZA",19,2470
2021,"Caldas","CENTRO (CALDAS)","CHINCHINA",9311,52701
2021,"Caqueta","CAQUETA","CARTAGENA DEL CHAIRA",424,32111
2022,"Santander","COMUNERA","PALMAR",6,1475
2021,"Cauca","ORIENTE (CAUCA)","CALDONO",255,41953
2022,"Antioquia","NORTE (ANTIOQUIA)","ITUANGO",1153,28393
2022,"Antioquia","SUROESTE","VALPARAISO",601,6820
2022,"Norte De Santander","SUR ORIENTE","LABATECA",11,7047
2022,"Bolivar","MOJANA BOLIVARENSE","ACHI",209,26741
2022,"Boyaca","CENTRO (BOYACA)","MOTAVITA",294,5884
2022,"Antioquia","ORIENTE (ANTIOQUIA)","MARINILLA",31703,68738
2022,"Santander","COMUNERA","GAMBITA",63,4160
2022,"Cauca","ORIENTE (CAUCA)","SILVIA",24,39574
2022,"Santander","COMUNERA","SANTA HELENA DEL OPON",9,3514
2021,"Antioquia","VALLE DEL ABURRA","CALDAS",20920,83850
2022,"Narino","COSTA","ROBERTO PAYAN",210,13159
2022,"Cundinamarca","MEDINA","MEDINA",30,8820
2022,"Sucre","SABANAS (SUCRE)","SAN LUIS DE SINCE",1320,32667
2022,"Bolivar","MAGDALENA MEDIO BOLIVARENSE","SANTA ROSA DEL SUR",5794,35517
2022,"Guaviare","GUAVIARE","EL RETORNO",97,16418
2021,"Narino","COSTA","FRANCISCO PIZARRO",19,14675
2021,"Antioquia","SUROESTE","ANDES",4094,44983
2021,"Cauca","SUR (CAUCA)","MERCADERES",19,24178
2021,"Norte De Santander","SUR ORIENTE","LABATECA",99,6933
2022,"Cauca","NORTE (CAUCA)","MIRANDA",2055,33022
2022,"Antioquia","NORTE (ANTIOQUIA)","VALDIVIA",1015,14455
2022,"Cauca","CENTRO (CAUCA)","CAJIBIO",128,44038
2021,"Cundinamarca","GUALIVA","SAN FRANCISCO",1346,11886
2021,"Cordoba","BAJO SINU","PURISIMA",177,18057
2021,"Antioquia","VALLE DEL ABURRA","GIRARDOTA",9811,54489
2021,"Cauca","CENTRO (CAUCA)","LA SIERRA",9,11036
2021,"Magdalena","CENTRO (MAGDALENA)","SABANAS DE SAN ANGEL",1350,17000
2021,"Caldas","ALTO OCCIDENTE","SUPIA",2586,29505
2022,"Cauca","ORIENTE (CAUCA)","JAMBALO",424,18944
2022,"Norte De Santander","ORIENTAL","LOS PATIOS",17902,101869
2022,"Cesar","NORTE (CESAR)","MANAURE",343,11371
2021,"Casanare","CASANARE","SACAMA",74,2253
2022,"Tolima","SUR (TOLIMA)","NATAGAIMA",608,14818
2021,"Cauca","ORIENTE (CAUCA)","SILVIA",25,39175
2021,"Cundinamarca","MAGDALENA CENTRO","VIANI",190,4738
2022,"Valle Del Cauca","SUR (VALLE DEL CAUCA)","CALI",548236,2276124
2022,"Antioquia","NORDESTE","CISNEROS",2242,10253
2021,"Antioquia","URABA","SAN PEDRO DE URABA",4209,32322
2022,"Antioquia","OCCIDENTE (ANTIOQUIA)","SAN JERONIMO",4071,16220
2022,"Risaralda","UNO - VERTIENTE ORIENTAL","SANTA ROSA DE CABAL",14500,79651
2022,"Cesar","CENTRAL","TAMALAMEQUE",28,17180
2021,"Santander","COMUNERA","PALMAS DEL SOCORRO",52,2597
2021,"Narino","CENTRO (NARINO)","NARINO",318,4463
2021,"Antioquia","SUROESTE","TITIRIBI",1950,11054
2022,"Norte De Santander","ORIENTAL","PUERTO SANTANDER",1867,9732
2021,"Norte De Santander","OCCIDENTE (NORTE DE SANTANDER)","OCANA",12688,131038
2021,"Cundinamarca","UBATE","LENGUAZAQUE",304,11014
2022,"Magdalena","SUR (MAGDALENA)","SANTA ANA",365,27319
2022,"Huila","NORTE (HUILA)","SANTA MARIA",380,11022
2022,"Caldas","ORIENTE (CALDAS)","VICTORIA",599,10414
2021,"Narino","CENTRO (NARINO)","YACUANQUER",479,11264
2022,"Boyaca","GUTIERREZ","CHISCAS",61,4114
2022,"Choco","SAN JUAN","SAN JOSE DEL PALMAR",17,5500
2022,"Cauca","ORIENTE (CAUCA)","INZA",51,30452
2021,"Meta","ARIARI","PUERTO CONCORDIA",24,8760
2022,"Sucre","SABANAS (SUCRE)","GALERAS",1038,23933
2021,"Cesar","SUR (CESAR)","GAMARRA",125,16503
2022,"Boyaca","GUTIERREZ","GUACAMAYAS",5,1925
2021,"Caldas","BAJO OCCIDENTE","VITERBO",2317,12991
2022,"Cundinamarca","TEQUENDAMA","SAN ANTONIO DEL TEQUENDAMA",474,13394
2022,"Boyaca","GUTIERREZ","EL ESPINO",10,3166
2022,"Santander","VELEZ","ALBANIA",9,4235
2021,"Cundinamarca","SABANA CENTRO","ZIPAQUIRA",32279,145842
2021,"Cundinamarca","ALTO MAGDALENA","NARINO",26,2555
2022,"Quindio","FRIA","SALENTO",569,9685
2022,"Cauca","NORTE (CAUCA)","CORINTO",925,26534
